MES,NOVOS_CLIENTES,CLIENTES_RECORRENTES,RECEITA_NOVOS,RECEITA_RECORRENTES,SHARE_NOVOS_CLIENTES,SHARE_CLIENTES_RECORRENTES,SHARE_RECEITA_NOVOS,SHARE_RECEITA_RECORRENTES
2012-06-01,1,0,2046.0,0.0,100.0,0.0,100.0,0.0
2012-07-01,19,1,196197.54,1656698.24,95.0,5.0,10.59,89.41
2012-08-01,373,3,149379.7,1178919.64,99.2,0.8,11.25,88.75
2012-09-01,649,83,93459.29,158325.67,88.66,11.34,37.12,62.88
2012-10-01,1398,196,186554.62,185518.07,87.7,12.3,50.14,49.86
2012-11-01,905,349,262559.71,206658.28,72.17,27.83,55.96,44.04
2012-12-01,789,378,145941.66,509308.54,67.61,32.39,22.27,77.73
2013-01-01,801,404,139759.42,550184.81,66.47,33.53,20.26,79.74
2013-02-01,961,397,188647.35,204851.05,70.77,29.23,47.94,52.06
2013-03-01,16722,712,1234263.0,231056.85,95.92,4.08,84.23,15.77
2013-04-01,15968,4339,1409890.34,617246.95,78.63,21.37,69.55,30.45
2013-05-01,12952,7429,1115279.74,878432.56,63.55,36.45,55.94,44.06
2013-06-01,11826,9856,951694.08,1095425.8,54.54,45.46,46.49,53.51
2013-07-01,12876,12438,1096971.38,1421541.8,50.87,49.13,43.56,56.44
2013-08-01,13249,13950,1230341.38,1569379.83,48.71,51.29,43.95,56.05
2013-09-01,10122,14503,881493.09,1568572.86,41.1,58.9,35.98,64.02
2013-10-01,14247,16694,1195551.9,1886343.51,46.05,53.95,38.79,61.21
2013-11-01,20327,21864,1378792.99,2279314.27,48.18,51.82,37.69,62.31
2013-12-01,26465,23183,1871191.59,2501308.37,53.31,46.69,42.79,57.21
2014-01-01,16226,22297,1106374.71,2282315.74,42.12,57.88,32.65,67.35
2014-02-01,12826,22030,905332.25,2233131.07,36.8,63.2,28.85,71.15
2014-03-01,14562,24829,1016551.61,2564915.47,36.97,63.03,28.38,71.62
2014-04-01,16476,29537,1266525.55,3042418.82,35.81,64.19,29.39,70.61
2014-05-01,17304,34248,1516924.63,3662017.0,33.57,66.43,29.29,70.71
2014-06-01,18551,36370,1364856.31,3688141.89,33.78,66.22,27.01,72.99
2014-07-01,19845,41203,1515003.24,4345475.86,32.51,67.49,25.85,74.15
2014-08-01,19766,43770,1468150.54,4657225.47,31.11,68.89,23.97,76.03
2014-09-01,29899,58703,2564525.37,6481496.21,33.75,66.25,28.35,71.65
2014-10-01,26771,71746,2065889.15,7995090.84,27.17,72.83,20.53,79.47
2014-11-01,24285,75208,1786809.02,7928426.01,24.41,75.59,18.39,81.61
2014-12-01,24987,80396,1736510.45,8662869.98,23.71,76.29,16.7,83.3
2015-01-01,23632,79645,1633654.18,8227780.26,22.88,77.12,16.57,83.43
2015-02-01,19194,77349,1314394.3,7721905.22,19.88,80.12,14.55,85.45
2015-03-01,21267,85754,1546495.69,9126312.33,19.87,80.13,14.49,85.51
2015-04-01,19554,85400,1573426.47,9104019.25,18.63,81.37,14.74,85.26
2015-05-01,18099,85004,1495475.14,9170879.75,17.55,82.45,14.02,85.98
2015-06-01,19105,85994,1531874.18,9464955.23,18.18,81.82,13.93,86.07
2015-07-01,20326,91940,1698645.12,10467920.47,18.11,81.89,13.96,86.04
2015-08-01,39219,59775,2999412.42,33444120.4,39.62,60.38,8.23,91.77
2015-09-01,18908,89125,1613391.01,10349044.85,17.5,82.5,13.49,86.51
2015-10-01,17429,92339,1341185.23,11040519.07,15.88,84.12,10.83,89.17
2015-11-01,15326,89210,1225040.89,10135730.02,14.66,85.34,10.78,89.22
2015-12-01,19756,96641,1555909.31,10821216.83,16.97,83.03,12.57,87.43
2016-01-01,19011,91805,1423412.82,9843622.79,17.16,82.84,12.63,87.37
2016-02-01,14985,86789,1224426.29,9329179.97,14.72,85.28,11.6,88.4
2016-03-01,14278,86848,1733553.88,10234854.3,14.12,85.88,14.48,85.52
2016-04-01,12490,78690,1149539.87,9066624.28,13.7,86.3,11.25,88.75
2016-05-01,11398,71373,1467713.58,8512191.98,13.77,86.23,14.71,85.29
2016-06-01,8946,63769,1387620.79,7831687.24,12.3,87.7,15.05,84.95
2016-07-01,5852,17167,1004202.7,1928523.34,25.42,74.58,34.24,65.76
2016-08-01,6144,17622,657615.13,2287990.03,25.85,74.15,22.33,77.67
2016-09-01,4560,15987,657301.99,1789264.36,22.19,77.81,26.87,73.13
2016-10-01,1002,6017,126683.98,877383.91,14.28,85.72,12.62,87.38
2016-11-01,273,1118,86618.16,254005.33,19.63,80.37,25.43,74.57
2016-12-01,10,28,116391.46,53653.19,26.32,73.68,68.45,31.55
2017-01-01,5,18,365.42,1866.62,21.74,78.26,16.37,83.63
2017-02-01,6,8,530.1,842.26,42.86,57.14,38.63,61.37
2017-03-01,4,9,182.04,697.19,30.77,69.23,20.7,79.3
2017-04-01,3,5,101.58,388.24,37.5,62.5,20.74,79.26
2017-05-01,0,4,0.0,859.9,0.0,100.0,0.0,100.0
2017-06-01,5,4,290.93,577.92,55.56,44.44,33.48,66.52
2017-07-01,2,4,155.16,328.43,33.33,66.67,32.09,67.91
2017-08-01,1,4,170.29,230.07,20.0,80.0,42.53,57.47
2017-09-01,0,4,0.0,158.72,0.0,100.0,0.0,100.0
2017-10-01,4,5,509.2,695.43,44.44,55.56,42.27,57.73
2017-11-01,1,0,51.2,0.0,100.0,0.0,100.0,0.0
2017-12-01,1,0,111.18,0.0,100.0,0.0,100.0,0.0
2018-01-01,311515,121829,34880606.38,16725941.24,71.89,28.11,67.59,32.41
2018-02-01,155601,247045,15911107.35,31996218.63,38.64,61.36,33.21,66.79
2018-03-01,141796,314647,14952945.41,42277948.25,31.07,68.93,26.13,73.87
2018-04-01,121655,337894,13031874.84,42562193.3,26.47,73.53,23.44,76.56
2018-05-01,109768,360943,11190441.11,45593958.4,23.32,76.68,19.71,80.29
2018-06-01,179250,399871,15186437.86,49399082.79,30.95,69.05,23.51,76.49
2018-07-01,455892,586321,31597763.69,72744840.54,43.74,56.26,30.28,69.72
2018-08-01,219538,591120,16720625.92,73843679.61,27.08,72.92,18.46,81.54
