UF,STATUS,FAIXA_ETARIA,FAIXA_TICKET_MEDIO,MASCULINO,FEMININO,TOTAL,PCT_MASCULINO,PCT_FEMININO
AC,Ativo,18-24,R$51 até R$100,1,0,1,100.00,0.00
AC,Ativo,25-34,R$51 até R$100,0,2,2,0.00,100.00
AC,Ativo,25-34,R$101 até R$150,1,1,2,50.00,50.00
AC,Ativo,25-34,R$151 até R$200,0,1,1,0.00,100.00
AC,Ativo,25-34,R$201 até R$250,1,1,2,50.00,50.00
AC,Ativo,25-34,Mais de R$351,0,3,3,0.00,100.00
AC,Ativo,35-44,R$51 até R$100,2,2,4,50.00,50.00
AC,Ativo,35-44,R$101 até R$150,1,3,4,25.00,75.00
AC,Ativo,35-44,R$151 até R$200,1,0,1,100.00,0.00
AC,Ativo,35-44,Mais de R$351,1,1,2,50.00,50.00
AC,Ativo,45-54,R$51 até R$100,1,4,5,20.00,80.00
AC,Ativo,45-54,R$101 até R$150,0,1,1,0.00,100.00
AC,Ativo,45-54,R$151 até R$200,1,1,2,50.00,50.00
AC,Ativo,45-54,R$301 até R$350,0,2,2,0.00,100.00
AC,Ativo,45-54,Mais de R$351,0,2,2,0.00,100.00
AC,Ativo,55-64,Menos de R$50,2,1,3,66.67,33.33
AC,Ativo,55-64,R$51 até R$100,1,0,1,100.00,0.00
AC,Ativo,55-64,R$101 até R$150,1,0,1,100.00,0.00
AC,Ativo,55-64,R$201 até R$250,1,0,1,100.00,0.00
AC,Ativo,55-64,Mais de R$351,1,0,1,100.00,0.00
AC,Ativo,65-74,R$101 até R$150,0,2,2,0.00,100.00
AC,Ativo,65-74,R$151 até R$200,1,0,1,100.00,0.00
AC,Ativo,75+,R$51 até R$100,0,1,1,0.00,100.00
AC,Churn,<18,Menos de R$50,1,1,2,50.00,50.00
AC,Churn,<18,R$51 até R$100,1,0,1,100.00,0.00
AC,Churn,18-24,Menos de R$50,1,0,1,100.00,0.00
AC,Churn,25-34,Menos de R$50,1,0,1,100.00,0.00
AC,Churn,25-34,R$51 até R$100,0,3,3,0.00,100.00
AC,Churn,25-34,R$101 até R$150,0,1,1,0.00,100.00
AC,Churn,25-34,R$251 até R$300,1,0,1,100.00,0.00
AC,Churn,25-34,Mais de R$351,2,0,2,100.00,0.00
AC,Churn,35-44,Menos de R$50,1,1,2,50.00,50.00
AC,Churn,35-44,R$51 até R$100,4,2,6,66.67,33.33
AC,Churn,35-44,R$101 até R$150,0,2,2,0.00,100.00
AC,Churn,45-54,Menos de R$50,2,3,5,40.00,60.00
AC,Churn,45-54,R$51 até R$100,1,0,1,100.00,0.00
AC,Churn,55-64,Menos de R$50,0,4,4,0.00,100.00
AC,Churn,55-64,R$51 até R$100,2,1,3,66.67,33.33
AC,Churn,55-64,R$101 até R$150,2,1,3,66.67,33.33
AC,Churn,55-64,R$151 até R$200,1,0,1,100.00,0.00
AC,Churn,55-64,R$201 até R$250,2,1,3,66.67,33.33
AC,Churn,55-64,Mais de R$351,1,1,2,50.00,50.00
AC,Churn,65-74,Menos de R$50,1,1,2,50.00,50.00
AC,Churn,65-74,R$51 até R$100,1,0,1,100.00,0.00
AC,Churn,65-74,R$151 até R$200,2,0,2,100.00,0.00
AC,Churn,75+,Menos de R$50,0,1,1,0.00,100.00
AC,Churn,75+,R$51 até R$100,1,0,1,100.00,0.00
AC,Churn,75+,R$151 até R$200,0,1,1,0.00,100.00
AC,Dormente,25-34,Menos de R$50,1,0,1,100.00,0.00
AC,Dormente,25-34,R$51 até R$100,1,1,2,50.00,50.00
AC,Dormente,25-34,R$101 até R$150,2,0,2,100.00,0.00
AC,Dormente,25-34,R$151 até R$200,1,0,1,100.00,0.00
AC,Dormente,25-34,R$201 até R$250,1,0,1,100.00,0.00
AC,Dormente,35-44,Menos de R$50,1,0,1,100.00,0.00
AC,Dormente,35-44,R$51 até R$100,2,1,3,66.67,33.33
AC,Dormente,35-44,R$251 até R$300,1,0,1,100.00,0.00
AC,Dormente,45-54,R$51 até R$100,2,0,2,100.00,0.00
AC,Dormente,45-54,Mais de R$351,0,1,1,0.00,100.00
AC,Dormente,55-64,Mais de R$351,0,1,1,0.00,100.00
AC,Dormente,65-74,R$151 até R$200,0,1,1,0.00,100.00
AC,Inativo,18-24,R$51 até R$100,1,0,1,100.00,0.00
AC,Inativo,25-34,R$101 até R$150,2,0,2,100.00,0.00
AC,Inativo,25-34,R$151 até R$200,0,1,1,0.00,100.00
AC,Inativo,25-34,R$301 até R$350,1,0,1,100.00,0.00
AC,Inativo,35-44,Menos de R$50,1,0,1,100.00,0.00
AC,Inativo,35-44,R$101 até R$150,1,0,1,100.00,0.00
AC,Inativo,35-44,R$201 até R$250,1,0,1,100.00,0.00
AC,Inativo,35-44,R$301 até R$350,1,0,1,100.00,0.00
AC,Inativo,45-54,R$51 até R$100,0,1,1,0.00,100.00
AC,Inativo,55-64,Menos de R$50,0,1,1,0.00,100.00
AC,Inativo,55-64,R$51 até R$100,2,0,2,100.00,0.00
AC,Inativo,55-64,R$101 até R$150,0,1,1,0.00,100.00
AC,Inativo,65-74,Menos de R$50,1,0,1,100.00,0.00
AC,Inativo,65-74,R$51 até R$100,1,1,2,50.00,50.00
AC,Inativo,65-74,R$101 até R$150,0,1,1,0.00,100.00
AC,Inativo,75+,Menos de R$50,1,0,1,100.00,0.00
AC,Inativo,75+,R$51 até R$100,1,1,2,50.00,50.00
AC,Inativo,75+,R$101 até R$150,1,0,1,100.00,0.00
AC,Inativo,75+,R$151 até R$200,1,0,1,100.00,0.00
AC,Inativo,75+,R$251 até R$300,1,0,1,100.00,0.00
AL,Ativo,<18,R$101 até R$150,1,0,1,100.00,0.00
AL,Ativo,<18,R$201 até R$250,1,0,1,100.00,0.00
AL,Ativo,25-34,R$51 até R$100,0,1,1,0.00,100.00
AL,Ativo,25-34,R$101 até R$150,0,1,1,0.00,100.00
AL,Ativo,25-34,R$201 até R$250,1,0,1,100.00,0.00
AL,Ativo,35-44,Menos de R$50,2,4,6,33.33,66.67
AL,Ativo,35-44,R$51 até R$100,1,6,7,14.29,85.71
AL,Ativo,35-44,R$101 até R$150,1,3,4,25.00,75.00
AL,Ativo,35-44,R$151 até R$200,1,0,1,100.00,0.00
AL,Ativo,45-54,Menos de R$50,1,0,1,100.00,0.00
AL,Ativo,45-54,R$51 até R$100,1,1,2,50.00,50.00
AL,Ativo,45-54,R$151 até R$200,0,1,1,0.00,100.00
AL,Ativo,45-54,R$301 até R$350,0,1,1,0.00,100.00
AL,Ativo,45-54,Mais de R$351,2,1,3,66.67,33.33
AL,Ativo,55-64,Menos de R$50,0,1,1,0.00,100.00
AL,Ativo,55-64,R$101 até R$150,0,1,1,0.00,100.00
AL,Ativo,55-64,R$201 até R$250,0,2,2,0.00,100.00
AL,Ativo,55-64,R$301 até R$350,0,2,2,0.00,100.00
AL,Ativo,55-64,Mais de R$351,0,1,1,0.00,100.00
