MES,CANAL,FREQUENCIA,R1,R2,R3,R4,R5,R6,TOTAL
1/1/26,CANAIS_VIRTUAIS,F1,0,0,0,253319.6,0,0,253319.6
1/1/26,CANAIS_VIRTUAIS,F2,0,0,0,948843.43,2266.4,0,951109.83
1/1/26,CANAIS_VIRTUAIS,F3,0,0,0,3437365.98,1693.75,0,3439059.73
1/1/26,CANAIS_VIRTUAIS,F4,0,0,0,13265936.53,145311.19,0,13411247.72
1/1/26,CANAIS_VIRTUAIS,F5,0,0,0,26121360.18,2006965.79,0,28128325.97
1/1/26,TELEVENDAS,F3,0,0,0,1436.12,0,0,1436.12
1/1/26,TELEVENDAS,F4,0,0,0,21290.67,1780.08,0,23070.75
1/1/26,TELEVENDAS,F5,0,0,0,166894.17,6914.17,0,173808.34
1/1/26,LOJA_F,F1,0,0,0,118664974.09,5079.02,0,118670053.11
1/1/26,LOJA_F,F2,0,0,0,52761367.86,6730.04,0,52768097.9
1/1/26,LOJA_F,F3,0,0,0,159550665.65,52761.48,0,159603427.13
1/1/26,LOJA_F,F4,0,0,0,271208509.47,2514122.45,0,273722631.92
1/1/26,LOJA_F,F5,0,0,0,166678275.04,15347389.69,0,182025664.73
2/1/26,CANAIS_VIRTUAIS,F1,0,0,0,282688.9,0,0,282688.9
2/1/26,CANAIS_VIRTUAIS,F2,0,0,0,839507.77,0,0,839507.77
2/1/26,CANAIS_VIRTUAIS,F3,0,0,0,3220928.03,0,0,3220928.03
2/1/26,CANAIS_VIRTUAIS,F4,0,0,0,13314413.58,0,0,13314413.58
2/1/26,CANAIS_VIRTUAIS,F5,0,0,0,29591030.93,0,0,29591030.93
2/1/26,TELEVENDAS,F3,0,0,0,5296.29,0,0,5296.29
2/1/26,TELEVENDAS,F4,0,0,0,56317.64,0,0,56317.64
2/1/26,TELEVENDAS,F5,0,0,0,307636.07,0,0,307636.07
2/1/26,LOJA_F,F1,0,0,0,103259721.92,0,0,103259721.92
2/1/26,LOJA_F,F2,0,0,0,42088266.89,0,0,42088266.89
2/1/26,LOJA_F,F3,0,0,0,138258928.62,0,0,138258928.62
2/1/26,LOJA_F,F4,0,0,0,257293072.95,0,0,257293072.95
2/1/26,LOJA_F,F5,0,0,0,179398893.85,0,0,179398893.85
