MES,CANAL,CLIENTES,TOTAL_COMPRAS,FREQUENCIA_MEDIA,VALOR_TOTAL,TICKET_MEDIO,CLIENTES_RECOMPRA,PCT_RECOMPRA_MES,MEDIA_DIAS_RECOMPRA
2026-01-01,CANAIS_VIRTUAIS,244879,330672,1.35,29774624.96,121.59,54332,22.19,8.1
2026-01-01,TELEVENDAS,1220,1298,1.06,101240.26,82.98,64,5.25,8.9
2026-01-01,LOJA_F,4180728,8071667,1.93,295464955.4,70.67,1831022,43.80,7.0
2026-01-01,TOTAL,4426827,8403637,1.9,325340820.62,73.49,1885418,42.59,8.0
2026-02-01,CANAIS_VIRTUAIS,240072,320122,1.33,30780728.62,128.21,51421,21.42,7.7
2026-02-01,TELEVENDAS,2168,2372,1.09,209795.35,96.77,160,7.38,8.4
2026-02-01,LOJA_F,4000399,7495260,1.87,269482719.99,67.36,1694576,42.36,6.5
2026-02-01,TOTAL,4242639,7817754,1.84,300473243.96,70.82,1746157,41.16,7.5
2026-03-01,CANAIS_VIRTUAIS,280034,388646,1.39,32659330.55,116.63,67138,23.97,8.4
2026-03-01,TELEVENDAS,2481,2770,1.12,234055.83,94.34,216,8.71,9.1
2026-03-01,LOJA_F,4248505,8446134,1.99,307483324.7,72.37,1921455,45.23,6.9
2026-03-01,TOTAL,4531020,8837550,1.95,340376711.08,75.12,1988809,43.89,8.1
2026-04-01,CANAIS_VIRTUAIS,278951,379726,1.36,30359200.35,108.83,63580,22.79,8.1
2026-04-01,TELEVENDAS,3014,3373,1.12,313024.32,103.86,258,8.56,8.7
2026-04-01,LOJA_F,4177394,8084479,1.94,290813600.37,69.62,1840620,44.06,6.9
2026-04-01,TOTAL,4459359,8467578,1.9,321485825.04,72.09,1904458,42.71,7.9
2026-05-01,CANAIS_VIRTUAIS,304225,417232,1.37,33486017.21,110.07,71129,23.38,8.4
2026-05-01,TELEVENDAS,2931,3292,1.12,547401.99,186.76,268,9.14,8.8
2026-05-01,LOJA_F,4342419,8680406,2,316752090.16,72.94,1986335,45.74,6.8
2026-05-01,TOTAL,4649575,9100930,1.96,350785509.36,75.44,2057732,44.26,8.0
2026-06-01,CANAIS_VIRTUAIS,320563,435891,1.36,33288339.79,103.84,73710,22.99,8.3
2026-06-01,TELEVENDAS,3262,3641,1.12,881115.71,270.12,262,8.03,7.8
2026-06-01,LOJA_F,4189522,8122038,1.94,302787407.61,72.27,1852775,44.22,6.9
2026-06-01,TOTAL,4513347,8561570,1.9,336956863.11,74.66,1926747,42.69,7.7
2026-07-01,CANAIS_VIRTUAIS,185142,219898,1.19,16133485.34,87.14,26640,14.39,4.6
2026-07-01,TELEVENDAS,1535,1633,1.06,497670.53,324.22,81,5.28,4.8
2026-07-01,LOJA_F,2794982,4117990,1.47,155685867.57,55.7,826838,29.58,4.1
2026-07-01,TOTAL,2981659,4339521,1.46,172317023.44,57.79,853559,28.63,4.5
