ANO_MES,STATUS,SEGMENTO,QTD_CLIENTES,CLIENTES_ATIVOS_30_DIAS,CLIENTES_ATIVOS_60_DIAS,CLIENTES_ATIVOS_90_DIAS
2014-04-01,Ativo,Campeao,2927,2901,2927,2927
2014-04-01,Ativo,Clientes Fieis,1222,1193,1222,1222
2014-04-01,Ativo,Novos Clientes,57,54,57,57
2014-04-01,Ativo,Potencial Fiel,642,621,641,641
2014-04-01,Ativo,,28,28,28,28
2014-04-01,Churn,Em Risco,70,0,0,0
2014-04-01,Churn,Hibernando,3,0,0,0
2014-04-01,Churn,Nao Perder!,2,0,0,0
2014-04-01,Churn,Perdido,439,0,0,0
2014-04-01,Churn,,1579,0,0,0
2014-04-01,Dormente,Campeao,19,0,19,19
2014-04-01,Dormente,Clientes Fieis,859,3,681,854
2014-04-01,Dormente,Clientes Promissores,78,0,72,78
2014-04-01,Dormente,Novos Clientes,6,0,6,6
2014-04-01,Dormente,Potencial Fiel,475,0,455,473
2014-04-01,Dormente,Precisa de Atencao,149,0,0,140
2014-04-01,Dormente,Quase Dormindo,174,0,0,169
2014-04-01,Inativo,Clientes Fieis,1,0,0,0
2014-04-01,Inativo,Em Risco,301,1,1,1
2014-04-01,Inativo,Hibernando,202,0,0,0
2014-04-01,Inativo,Perdido,156,0,0,0
2014-04-01,Inativo,Precisa de Atencao,2,0,0,0
2014-04-01,Inativo,Quase Dormindo,3,0,0,0
2014-04-01,Não Ativado,,83,9,9,9
2014-05-01,Ativo,Campeao,598,587,598,598
2014-05-01,Ativo,Clientes Fieis,317,310,317,317
2014-05-01,Ativo,Novos Clientes,21,21,21,21
2014-05-01,Ativo,Potencial Fiel,166,159,165,166
2014-05-01,Ativo,,2,2,2,2
2014-05-01,Churn,Em Risco,15,0,0,0
2014-05-01,Churn,Nao Perder!,1,0,0,0
2014-05-01,Churn,Perdido,109,0,0,0
2014-05-01,Churn,,357,0,0,0
2014-05-01,Dormente,Campeao,7,0,7,7
2014-05-01,Dormente,Clientes Fieis,202,2,154,201
2014-05-01,Dormente,Clientes Promissores,19,0,19,19
2014-05-01,Dormente,Potencial Fiel,100,1,95,100
2014-05-01,Dormente,Precisa de Atencao,45,0,0,44
2014-05-01,Dormente,Quase Dormindo,39,0,0,38
2014-05-01,Inativo,Clientes Fieis,1,0,0,0
2014-05-01,Inativo,Em Risco,64,0,0,1
2014-05-01,Inativo,Hibernando,69,0,0,0
2014-05-01,Inativo,Perdido,37,0,0,0
2014-05-01,Inativo,Precisa de Atencao,2,0,0,0
2014-05-01,Inativo,Quase Dormindo,1,0,0,0
2014-05-01,Não Ativado,,33,1,1,1
2014-06-01,Ativo,Campeao,66,66,66,66
2014-06-01,Ativo,Clientes Fieis,27,27,27,27
2014-06-01,Ativo,Potencial Fiel,15,14,15,15
2014-06-01,Churn,Em Risco,3,0,0,0
2014-06-01,Churn,Perdido,6,0,0,0
2014-06-01,Churn,,47,0,0,0
2014-06-01,Dormente,Clientes Fieis,23,0,17,23
2014-06-01,Dormente,Potencial Fiel,3,0,3,3
2014-06-01,Dormente,Precisa de Atencao,1,0,0,1
2014-06-01,Dormente,Quase Dormindo,6,0,0,5
2014-06-01,Inativo,Em Risco,5,0,0,0
2014-06-01,Inativo,Hibernando,7,0,0,0
2014-06-01,Inativo,Perdido,3,0,0,0
2014-06-01,Não Ativado,,17,0,0,0
2014-07-01,Ativo,Campeao,24,24,24,24
2014-07-01,Ativo,Clientes Fieis,4,4,4,4
2014-07-01,Ativo,Potencial Fiel,2,2,2,2
2014-07-01,Churn,Em Risco,1,0,0,0
2014-07-01,Churn,Perdido,2,0,0,0
2014-07-01,Churn,,19,0,0,0
2014-07-01,Dormente,Clientes Fieis,1,0,1,1
2014-07-01,Inativo,Hibernando,2,0,0,0
2014-07-01,Não Ativado,,5,0,0,0
2014-08-01,Ativo,Campeao,91,91,91,91
2014-08-01,Ativo,Clientes Fieis,32,31,32,32
2014-08-01,Ativo,Novos Clientes,8,7,8,8
2014-08-01,Ativo,Potencial Fiel,18,18,18,18
2014-08-01,Churn,Em Risco,1,0,0,0
2014-08-01,Churn,Perdido,12,0,0,0
2014-08-01,Churn,,69,0,0,0
