ANO_MES;STATUS;SEGMENTO;QTD_CLIENTES;CLIENTES_CONTATAVEIS;CLIENTES_COM_EMAIL;CLIENTES_COM_TELEFONE;CLIENTES_COM_EMAIL_E_TELEFONE;CLIENTES_ATIVOS_30_DIAS;CLIENTES_ATIVOS_60_DIAS;CLIENTES_ATIVOS_90_DIAS
01/04/2014;Ativo;Campeao;3039;3034;746;3034;746;3011;3039;3039
01/04/2014;Ativo;Clientes Fieis;1186;1181;165;1181;165;1155;1185;1186
01/04/2014;Ativo;Novos Clientes;79;79;4;79;4;75;79;79
01/04/2014;Ativo;Potencial Fiel;606;602;63;602;63;591;606;606
01/04/2014;Ativo;;28;28;26;28;26;28;28;28
01/04/2014;Churn;Em Risco;85;84;15;84;15;2;2;2
01/04/2014;Churn;Hibernando;3;3;2;3;2;0;0;0
01/04/2014;Churn;Nao Perder!;5;5;0;5;0;0;0;0
01/04/2014;Churn;Perdido;463;452;30;452;30;1;1;1
01/04/2014;Churn;;1543;1396;121;1386;111;0;0;0
01/04/2014;Dormente;Campeao;21;21;6;21;6;0;21;21
01/04/2014;Dormente;Clientes Fieis;850;847;155;847;155;8;644;846
01/04/2014;Dormente;Clientes Promissores;58;57;10;57;10;0;56;58
01/04/2014;Dormente;Potencial Fiel;416;410;37;410;37;1;397;413
01/04/2014;Dormente;Precisa de Atencao;172;170;26;170;26;1;1;168
01/04/2014;Dormente;Quase Dormindo;170;165;13;165;13;0;0;164
01/04/2014;Inativo;Clientes Fieis;3;3;2;3;2;0;0;0
01/04/2014;Inativo;Em Risco;306;304;44;304;44;0;0;0
01/04/2014;Inativo;Hibernando;206;201;25;201;25;1;1;1
01/04/2014;Inativo;Perdido;150;146;7;146;7;0;0;0
01/04/2014;Inativo;Precisa de Atencao;2;2;0;2;0;0;0;0
01/04/2014;Inativo;Quase Dormindo;3;3;0;3;0;0;0;0
01/04/2014;Não Ativado;;83;42;16;42;16;9;9;9
01/05/2014;Ativo;Campeao;629;626;154;626;154;622;629;629
01/05/2014;Ativo;Clientes Fieis;300;298;49;298;49;290;300;300
01/05/2014;Ativo;Novos Clientes;23;23;2;23;2;21;23;23
01/05/2014;Ativo;Potencial Fiel;166;164;23;164;23;162;166;166
01/05/2014;Ativo;;2;2;2;2;2;2;2;2
01/05/2014;Churn;Em Risco;18;18;1;18;1;0;0;0
01/05/2014;Churn;Hibernando;1;1;0;1;0;0;0;0
01/05/2014;Churn;Nao Perder!;1;1;1;1;1;0;0;0
01/05/2014;Churn;Perdido;123;122;8;122;8;0;0;0
01/05/2014;Churn;;346;312;15;311;14;0;0;0
01/05/2014;Dormente;Campeao;3;3;0;3;0;1;3;3
01/05/2014;Dormente;Clientes Fieis;202;197;23;197;23;1;155;198
01/05/2014;Dormente;Clientes Promissores;22;21;1;21;1;0;19;22
01/05/2014;Dormente;Potencial Fiel;93;88;9;88;9;0;87;92
01/05/2014;Dormente;Precisa de Atencao;45;45;8;45;8;0;0;43
01/05/2014;Dormente;Quase Dormindo;34;34;2;34;2;0;0;33
01/05/2014;Inativo;Clientes Fieis;1;1;0;1;0;0;0;0
01/05/2014;Inativo;Em Risco;76;76;11;76;11;0;0;0
01/05/2014;Inativo;Hibernando;55;53;7;53;7;0;0;0
01/05/2014;Inativo;Perdido;30;30;4;30;4;0;0;0
01/05/2014;Inativo;Precisa de Atencao;1;1;1;1;1;0;0;0
01/05/2014;Inativo;Quase Dormindo;1;1;0;1;0;0;0;0
01/05/2014;Não Ativado;;33;6;0;6;0;1;1;1
01/06/2014;Ativo;Campeao;69;69;16;69;16;69;69;69
01/06/2014;Ativo;Clientes Fieis;35;35;5;35;5;35;35;35
01/06/2014;Ativo;Potencial Fiel;16;16;0;16;0;16;16;16
01/06/2014;Churn;Em Risco;3;3;1;3;1;0;0;0
01/06/2014;Churn;Hibernando;1;1;0;1;0;0;0;0
01/06/2014;Churn;Perdido;7;7;1;7;1;0;0;0
01/06/2014;Churn;;46;37;3;37;3;0;0;0
01/06/2014;Dormente;Clientes Fieis;15;15;4;15;4;2;12;14
01/06/2014;Dormente;Potencial Fiel;2;2;1;2;1;0;2;2
01/06/2014;Dormente;Precisa de Atencao;1;1;0;1;0;0;0;1
01/06/2014;Dormente;Quase Dormindo;2;2;0;2;0;0;0;2
01/06/2014;Inativo;Clientes Fieis;1;1;1;1;1;0;0;0
01/06/2014;Inativo;Em Risco;4;4;1;4;1;0;0;0
01/06/2014;Inativo;Hibernando;4;4;0;4;0;0;0;0
01/06/2014;Inativo;Perdido;6;6;0;6;0;0;0;0
01/06/2014;Não Ativado;;17;0;0;0;0;0;0;0
01/07/2014;Ativo;Campeao;27;27;6;27;6;27;27;27
01/07/2014;Ativo;Clientes Fieis;1;1;0;1;0;1;1;1
01/07/2014;Ativo;Potencial Fiel;1;1;0;1;0;0;1;1
01/07/2014;Churn;Em Risco;1;1;0;1;0;0;0;0
01/07/2014;Churn;Perdido;2;2;0;2;0;0;0;0
01/07/2014;Churn;;19;15;1;15;1;0;0;0
01/07/2014;Dormente;Clientes Fieis;1;1;0;1;0;0;1;1
01/07/2014;Dormente;Potencial Fiel;1;1;1;1;1;0;1;1
01/07/2014;Inativo;Hibernando;2;2;0;2;0;0;0;0
01/07/2014;Não Ativado;;5;0;0;0;0;0;0;0
01/08/2014;Ativo;Campeao;94;93;19;93;19;93;94;94
01/08/2014;Ativo;Clientes Fieis;34;34;6;34;6;33;34;34
01/08/2014;Ativo;Novos Clientes;5;4;1;4;1;5;5;5
01/08/2014;Ativo;Potencial Fiel;12;12;0;12;0;12;12;12
01/08/2014;Churn;Em Risco;1;1;0;1;0;0;0;0
01/08/2014;Churn;Perdido;13;13;1;13;1;0;0;0
01/08/2014;Churn;;68;58;6;58;6;0;0;0
01/08/2014;Dormente;Campeao;2;2;1;2;1;0;2;2
01/08/2014;Dormente;Clientes Fieis;21;20;3;20;3;0;13;21
01/08/2014;Dormente;Clientes Promissores;4;4;2;4;2;0;4;4
01/08/2014;Dormente;Potencial Fiel;14;13;2;13;2;0;13;14
01/08/2014;Dormente;Precisa de Atencao;3;3;0;3;0;0;0;3
01/08/2014;Dormente;Quase Dormindo;4;3;0;3;0;0;0;4
01/08/2014;Inativo;Clientes Fieis;1;1;0;1;0;0;0;0
01/08/2014;Inativo;Em Risco;9;9;0;9;0;0;0;0
01/08/2014;Inativo;Hibernando;4;4;2;4;2;0;0;0
01/08/2014;Inativo;Perdido;6;6;2;6;2;0;0;0
01/08/2014;Não Ativado;;24;4;0;4;0;1;1;1
01/09/2014;Ativo;Campeao;165;165;41;165;41;163;165;165
01/09/2014;Ativo;Clientes Fieis;60;60;9;60;9;60;60;60
01/09/2014;Ativo;Novos Clientes;1;1;1;1;1;1;1;1
01/09/2014;Ativo;Potencial Fiel;28;27;3;27;3;28;28;28
01/09/2014;Churn;Em Risco;4;3;0;3;0;0;0;0
01/09/2014;Churn;Nao Perder!;1;1;0;1;0;0;0;0
01/09/2014;Churn;Perdido;24;24;1;24;1;0;0;0
01/09/2014;Churn;;93;82;6;81;5;0;0;0
01/09/2014;Dormente;Clientes Fieis;32;32;4;32;4;0;22;32
01/09/2014;Dormente;Clientes Promissores;1;1;0;1;0;0;1;1
01/09/2014;Dormente;Potencial Fiel;8;8;1;8;1;0;8;8
01/09/2014;Dormente;Precisa de Atencao;5;5;0;5;0;0;0;5
01/09/2014;Dormente;Quase Dormindo;3;3;0;3;0;0;0;3
01/09/2014;Inativo;Em Risco;14;14;0;14;0;0;0;0
01/09/2014;Inativo;Hibernando;9;9;1;9;1;0;0;0
01/09/2014;Inativo;Perdido;7;7;1;7;1;0;0;0
01/09/2014;Não Ativado;;45;2;2;0;0;0;0;0
01/10/2014;Ativo;Campeao;212;212;38;212;38;212;212;212
